id,name,description,subcategories
6935bacc260c971d63c6ed8c,"מבצעים לסופ""ש",,
66f1d85b80d9ef5a21d238e8,מזון לכלבים,,"66f1d85b80d9ef5a21d238ed,
66f1d85b80d9ef5a21d238ee,
66f1d85b80d9ef5a21d238ef,
66f1d85b80d9ef5a21d238f0"
66f1d85b80d9ef5a21d238ed,מזון לגורי כלבים,,
66f1d85b80d9ef5a21d238ee,מזון לכלבים בוגרים,,
66f1d85b80d9ef5a21d238ef,מזון טבעי לכלבים,,
66f1d85b80d9ef5a21d238f0,מזון דיאטטי לכלבים,,
66f1d85b80d9ef5a21d238f1,שימורים ומעדנים לכלבים,,
66f1d85b80d9ef5a21d238f2,חטיפים ועצמות לכלבים,,
66f1d85b80d9ef5a21d238f3,טיפול וטיפוח לכלבים וחתולים,,
66f1d85b80d9ef5a21d238f4,משחקים לכלבים,,
66f1d85b80d9ef5a21d238f5,מזון לחתולים,,"66f1d85b80d9ef5a21d238f8,
66f1d85b80d9ef5a21d238f9"
66f1d85b80d9ef5a21d238f8,מזון לגורי חתולים,,
66f1d85b80d9ef5a21d238f9,מזון לחתולים בוגרים,,
66f1d85b80d9ef5a21d238fa,שימורים ומעדנים לחתולים,,
682b0874daf52a53d52cdfbb,שימורים ומעדנים לגורי חתולים,,
66f1d85b80d9ef5a21d238fb,חטיפים לחתולים,,
678e070bc484b479de621b58,חול לחתולים,,
66f1d85b80d9ef5a21d238fc,משחקים ומתקני גירוד לחתולים,,
66f1d85b80d9ef5a21d238fd,קופסאות הפתעה,,
66f1d85b80d9ef5a21d238fe,"קולרים, רצועות ורתמות",,
66f1d85b80d9ef5a21d238ff,כלי אוכל ושתייה,,
66f1d85b80d9ef5a21d23900,מוצרים נוספים לחתולים וכלבים,,
6926d55edc49eef8ded28d84,מיטות ומזרנים לכלבים וחתולים,,
6935baf9f0c89eab5756eddc,מבצעי החודש,,
66f1d85b80d9ef5a21d238e7,Wolt Specials,,
